Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered
16/01/2021,India,48276,48276,0
17/01/2021,India,58604,58604,0
18/01/2021,India,99449,99449,0
19/01/2021,India,195525,195525,0
20/01/2021,India,251280,251280,0
21/01/2021,India,365965,365965,0
22/01/2021,India,549381,549381,0
23/01/2021,India,759008,759008,0
24/01/2021,India,835058,835058,0
25/01/2021,India,1277104,1277104,0
26/01/2021,India,1293784,1293784,0
27/01/2021,India,1726490,1726490,0
28/01/2021,India,2295491,2295491,0
29/01/2021,India,2814803,2814803,0
30/01/2021,India,3067736,3067736,0
31/01/2021,India,3127107,3127107,0
1/2/2021,India,3350265,3350265,0
2/2/2021,India,3527971,3527971,0
3/2/2021,India,3825835,3825835,0
4/2/2021,India,4314304,4314304,0
5/2/2021,India,4765924,4765924,0
6/2/2021,India,5111827,5111827,0
7/2/2021,India,5168099,5168099,0
8/2/2021,India,5615499,5615499,0
9/2/2021,India,6002474,6002474,0
10/2/2021,India,6462270,6462270,0
11/2/2021,India,6958553,6958553,0
12/2/2021,India,7423817,7423817,0
13/02/2021,India,7708211,7687352,20859
14/02/2021,India,7732278,7710367,21911
15/02/2021,India,8253651,8111162,142489
16/02/2021,India,8577226,8337600,239626
17/02/2021,India,9023239,8704698,318541
18/02/2021,India,9338267,8862491,475776
19/02/2021,India,10241508,9523567,717941
20/02/2021,India,10619113,9734505,884608
21/02/2021,India,10651012,9757217,893795
22/02/2021,India,11243679,10069263,1174416
23/02/2021,India,11597768,10288293,1309475
24/02/2021,India,12042958,10517568,1525390
25/02/2021,India,12819074,10846192,1972882
26/02/2021,India,13560932,11141375,2419557
27/02/2021,India,13560983,11141426,2419557
28/02/2021,India,13561208,11141651,2419557
1/3/2021,India,13561208,11141651,2419557
2/3/2021,India,14533954,11886320,2647634
3/3/2021,India,15383883,12553326,2830557
4/3/2021,India,16535703,13393538,3142165
5/3/2021,India,17871673,14415912,3455761
6/3/2021,India,19170828,15438495,3732333
7/3/2021,India,19288666,15541529,3747137
8/3/2021,India,21038500,16976138,4062362
9/3/2021,India,18360243,14003206,4357037
10/3/2021,India,19538547,14872785,4665762
11/3/2021,India,19953987,15204375,4749612
12/3/2021,India,21772159,16612019,5160140
13/03/2021,India,23159604,17698742,5460862
14/03/2021,India,23317750,17837716,5480034
15/03/2021,India,25618250,19766466,5851784
16/03/2021,India,31870745,25709257,6161488
17/03/2021,India,36496020,30011328,6484692
18/03/2021,India,38770404,31952935,6817469
19/03/2021,India,41309219,34228371,7080848
20/03/2021,India,43877868,36568988,7308880
21/03/2021,India,44645372,37303458,7341914
22/03/2021,India,47204633,39612614,7592019
23/03/2021,India,49973152,42148875,7824277
24/03/2021,India,52216237,44250191,7966046
25/03/2021,India,54589220,46454700,8134520
26/03/2021,India,57021164,48749313,8271851
27/03/2021,India,59235436,50865316,8370120
28/03/2021,India,59557120,51179587,8377533
29/03/2021,India,60183064,51774289,8408775
30/03/2021,India,61990242,53429356,8560886
31/03/2021,India,63935590,55188803,8746787
1/4/2021,India,66361722,57443466,8918256
2/4/2021,India,70090836,60936753,9154083
3/4/2021,India,73112119,63743700,9368419
4/4/2021,India,76405697,66838504,9567193
5/4/2021,India,79439889,69620234,9819655
6/4/2021,India,82065337,72035640,10029697
7/4/2021,India,87100627,76671812,10428815
8/4/2021,India,91881530,80998099,10883431
9/4/2021,India,95583419,84296847,11286572
10/4/2021,India,99069354,87411872,11657482
11/4/2021,India,102000401,90111528,11888873
12/4/2021,India,105970539,93559587,12410952
13/04/2021,India,108598289,95823614,12774675
14/04/2021,India,111913288,98703696,13209592
15/04/2021,India,114598026,100853671,13744355
16/04/2021,India,117305344,102927296,14378048
17/04/2021,India,119971369,104950409,15020960
18/04/2021,India,121207098,105896430,15310668
19/04/2021,India,124457162,108178574,16278588
20/04/2021,India,127428887,110165234,17263653
21/04/2021,India,129646105,111673361,17972744
22/04/2021,India,132754608,113584269,19170339
23/04/2021,India,135658324,115461202,20197122
24/04/2021,India,138185956,117105343,21080613
25/04/2021,India,139185173,117795008,21390165
26/04/2021,India,142524947,119886252,22638695
27/04/2021,India,144879233,121263287,23615946
28/04/2021,India,147053392,122538179,24515213
29/04/2021,India,149268772,123811908,25456864
30/04/2021,India,151998107,125376952,26621155
1/5/2021,India,153626325,126328970,27297355
2/5/2021,India,154211511,126704151,27507360
3/5/2021,India,156082136,127696675,28385461
4/5/2021,India,157750752,128627919,29122833
5/5/2021,India,159931238,129730641,30200597
6/5/2021,India,162603603,131058890,31544713
7/5/2021,India,165190000,132294827,32895173
8/5/2021,India,167493857,133366482,34127375
9/5/2021,India,168304868,133854676,34450192
10/5/2021,India,171098918,135192013,35906905
11/5/2021,India,173862643,136557345,37305298
12/5/2021,India,176045577,137805245,38240332
13/05/2021,India,178361846,139087590,39274256
14/05/2021,India,179646413,139861462,39784951
15/05/2021,India,181544536,141132112,40412424
16/05/2021,India,182251006,141764335,40486671
17/05/2021,India,183817204,143090218,40726986
18/05/2021,India,185191602,144270200,40921402
19/05/2021,India,186410600,145333606,41076994
20/05/2021,India,187886885,146624652,41262233
21/05/2021,India,189344105,147893976,41450129
22/05/2021,India,190936859,149302864,41633995
23/05/2021,India,191877460,150180408,41697052
24/05/2021,India,194313920,152439044,41874876
25/05/2021,India,196463495,154384464,42079031
26/05/2021,India,198425615,156189641,42235974
27/05/2021,India,201438120,159006359,42431761
28/05/2021,India,204617572,161951713,42665859
29/05/2021,India,207796464,164804095,42992369
30/05/2021,India,208907723,165823004,43084719
31/05/2021,India,211778491,168393525,43384966
1/6/2021,India,214314522,170640412,43674110
2/6/2021,India,216858197,172945950,43912247
3/6/2021,India,219831571,175677634,44153937
4/6/2021,India,223642281,179205337,44436944
5/6/2021,India,227162503,182451348,44711155
6/6/2021,India,228624578,183824958,44799620
7/6/2021,India,232063488,186933771,45129717
8/6/2021,India,234952618,189503126,45449492
9/6/2021,India,238440129,192669299,45770830
10/6/2021,India,241846863,195747476,46099387
11/6/2021,India,245411955,198977594,46434361
12/6/2021,India,249033094,202207183,46825911
13/06/2021,India,250656362,203705131,46951231
14/06/2021,India,254653040,207274441,47378599
15/06/2021,India,257605528,209816439,47789089
16/06/2021,India,261118468,212945352,48173116
17/06/2021,India,264537245,215944608,48592637
18/06/2021,India,267951571,218956863,48994708
19/06/2021,India,271833642,222316897,49516745
20/06/2021,India,275018693,225211708,49806985
21/06/2021,India,283891764,233288807,50602957
22/06/2021,India,289961746,238685516,51276230
23/06/2021,India,296892521,244944880,51947641
24/06/2021,India,303426850,250656880,52769970
25/06/2021,India,309802519,256135000,53667519
26/06/2021,India,316535775,261705883,54829892
27/06/2021,India,318473492,263289938,55183554
28/06/2021,India,323836329,267485789,56350540
29/06/2021,India,327685422,270392224,57293198
30/06/2021,India,330553623,272487181,58066442
1/7/2021,India,334913220,275842378,59070842
2/7/2021,India,339447068,279132514,60314554
3/7/2021,India,346054022,283527017,62527005
4/7/2021,India,347766247,284750483,63015764
5/7/2021,India,352412289,287588808,64823481
6/7/2021,India,356192949,290132865,66060084
7/7/2021,India,,,
8/7/2021,India,,,
9/7/2021,India,,,
10/7/2021,India,,,
11/7/2021,India,,,
12/7/2021,India,,,
13/07/2021,India,,,
14/07/2021,India,,,
15/07/2021,India,,,
16/07/2021,India,,,
17/07/2021,India,,,
16/01/2021,Andaman and Nicobar Islands,23,23,0
17/01/2021,Andaman and Nicobar Islands,23,23,0
18/01/2021,Andaman and Nicobar Islands,42,42,0
19/01/2021,Andaman and Nicobar Islands,89,89,0
20/01/2021,Andaman and Nicobar Islands,124,124,0
21/01/2021,Andaman and Nicobar Islands,239,239,0
22/01/2021,Andaman and Nicobar Islands,552,552,0
23/01/2021,Andaman and Nicobar Islands,920,920,0
24/01/2021,Andaman and Nicobar Islands,966,966,0
25/01/2021,Andaman and Nicobar Islands,1519,1519,0
26/01/2021,Andaman and Nicobar Islands,1519,1519,0
27/01/2021,Andaman and Nicobar Islands,1519,1519,0
28/01/2021,Andaman and Nicobar Islands,1956,1956,0
29/01/2021,Andaman and Nicobar Islands,2024,2024,0
30/01/2021,Andaman and Nicobar Islands,2060,2060,0
31/01/2021,Andaman and Nicobar Islands,2060,2060,0
1/2/2021,Andaman and Nicobar Islands,2060,2060,0
2/2/2021,Andaman and Nicobar Islands,2060,2060,0
3/2/2021,Andaman and Nicobar Islands,2107,2107,0
4/2/2021,Andaman and Nicobar Islands,2290,2290,0
5/2/2021,Andaman and Nicobar Islands,2514,2514,0
6/2/2021,Andaman and Nicobar Islands,2780,2780,0
7/2/2021,Andaman and Nicobar Islands,2780,2780,0
8/2/2021,Andaman and Nicobar Islands,2780,2780,0
9/2/2021,Andaman and Nicobar Islands,2780,2780,0
10/2/2021,Andaman and Nicobar Islands,2780,2780,0
11/2/2021,Andaman and Nicobar Islands,2780,2780,0
12/2/2021,Andaman and Nicobar Islands,2852,2852,0
13/02/2021,Andaman and Nicobar Islands,3040,3040,0
14/02/2021,Andaman and Nicobar Islands,3040,3040,0
15/02/2021,Andaman and Nicobar Islands,3467,3363,104
16/02/2021,Andaman and Nicobar Islands,3467,3363,104
17/02/2021,Andaman and Nicobar Islands,3664,3560,104
18/02/2021,Andaman and Nicobar Islands,3846,3505,341
19/02/2021,Andaman and Nicobar Islands,4898,4246,652
20/02/2021,Andaman and Nicobar Islands,5653,4707,946
21/02/2021,Andaman and Nicobar Islands,5653,4707,946
22/02/2021,Andaman and Nicobar Islands,6856,5358,1498
23/02/2021,Andaman and Nicobar Islands,7058,5436,1622
24/02/2021,Andaman and Nicobar Islands,7240,5518,1722
25/02/2021,Andaman and Nicobar Islands,7763,5867,1896
26/02/2021,Andaman and Nicobar Islands,7989,6029,1960
27/02/2021,Andaman and Nicobar Islands,7989,6029,1960
28/02/2021,Andaman and Nicobar Islands,7989,6029,1960
1/3/2021,Andaman and Nicobar Islands,7989,6029,1960
2/3/2021,Andaman and Nicobar Islands,8724,6638,2086
3/3/2021,Andaman and Nicobar Islands,8837,6749,2088
4/3/2021,Andaman and Nicobar Islands,9361,7266,2095
5/3/2021,Andaman and Nicobar Islands,9897,7799,2098
6/3/2021,Andaman and Nicobar Islands,10498,8288,2210
7/3/2021,Andaman and Nicobar Islands,11101,8848,2253
8/3/2021,Andaman and Nicobar Islands,12004,9629,2375
9/3/2021,Andaman and Nicobar Islands,9932,7542,2390
10/3/2021,Andaman and Nicobar Islands,10161,7735,2426
11/3/2021,Andaman and Nicobar Islands,10704,8218,2486
12/3/2021,Andaman and Nicobar Islands,11321,8735,2586
13/03/2021,Andaman and Nicobar Islands,11638,8899,2739
14/03/2021,Andaman and Nicobar Islands,11693,8926,2767
15/03/2021,Andaman and Nicobar Islands,12045,9202,2843
16/03/2021,Andaman and Nicobar Islands,14826,11950,2876
17/03/2021,Andaman and Nicobar Islands,15489,12509,2980
18/03/2021,Andaman and Nicobar Islands,16131,12948,3183
19/03/2021,Andaman and Nicobar Islands,16612,13293,3319
20/03/2021,Andaman and Nicobar Islands,17451,13852,3599
21/03/2021,Andaman and Nicobar Islands,17478,13868,3610
22/03/2021,Andaman and Nicobar Islands,18085,14327,3758
23/03/2021,Andaman and Nicobar Islands,19121,15017,4104
24/03/2021,Andaman and Nicobar Islands,19693,15247,4446
25/03/2021,Andaman and Nicobar Islands,20318,15652,4666
26/03/2021,Andaman and Nicobar Islands,20789,15933,4856
27/03/2021,Andaman and Nicobar Islands,21356,16292,5064
28/03/2021,Andaman and Nicobar Islands,21358,16293,5065
29/03/2021,Andaman and Nicobar Islands,21357,16292,5065
30/03/2021,Andaman and Nicobar Islands,21840,16701,5139
31/03/2021,Andaman and Nicobar Islands,21938,16798,5140
1/4/2021,Andaman and Nicobar Islands,22608,17435,5173
2/4/2021,Andaman and Nicobar Islands,22738,17559,5179
3/4/2021,Andaman and Nicobar Islands,23221,17998,5223
4/4/2021,Andaman and Nicobar Islands,23901,18677,5224
5/4/2021,Andaman and Nicobar Islands,24774,19499,5275
6/4/2021,Andaman and Nicobar Islands,25766,20445,5321
7/4/2021,Andaman and Nicobar Islands,27978,22631,5347
8/4/2021,Andaman and Nicobar Islands,30766,25363,5403
9/4/2021,Andaman and Nicobar Islands,33217,27698,5519
10/4/2021,Andaman and Nicobar Islands,35433,29863,5570
11/4/2021,Andaman and Nicobar Islands,37624,32012,5612
12/4/2021,Andaman and Nicobar Islands,42285,36572,5713
13/04/2021,Andaman and Nicobar Islands,48845,43013,5832
14/04/2021,Andaman and Nicobar Islands,55595,49654,5941
15/04/2021,Andaman and Nicobar Islands,60857,54778,6079
16/04/2021,Andaman and Nicobar Islands,67662,61339,6323
17/04/2021,Andaman and Nicobar Islands,74019,67451,6568
18/04/2021,Andaman and Nicobar Islands,78153,71275,6878
19/04/2021,Andaman and Nicobar Islands,83028,75675,7353
20/04/2021,Andaman and Nicobar Islands,86910,78973,7937
21/04/2021,Andaman and Nicobar Islands,89072,80901,8171
22/04/2021,Andaman and Nicobar Islands,91833,83233,8600
23/04/2021,Andaman and Nicobar Islands,94166,85201,8965
24/04/2021,Andaman and Nicobar Islands,96093,86796,9297
25/04/2021,Andaman and Nicobar Islands,97392,87865,9527
26/04/2021,Andaman and Nicobar Islands,99109,89290,9819
27/04/2021,Andaman and Nicobar Islands,100571,90454,10117
28/04/2021,Andaman and Nicobar Islands,101770,91394,10376
29/04/2021,Andaman and Nicobar Islands,102998,92417,10581
30/04/2021,Andaman and Nicobar Islands,104374,93493,10881
1/5/2021,Andaman and Nicobar Islands,105090,94002,11088
2/5/2021,Andaman and Nicobar Islands,105285,94125,11160
3/5/2021,Andaman and Nicobar Islands,106250,94633,11617
4/5/2021,Andaman and Nicobar Islands,107018,95064,11954
5/5/2021,Andaman and Nicobar Islands,107955,95500,12455
6/5/2021,Andaman and Nicobar Islands,109060,96229,12831
7/5/2021,Andaman and Nicobar Islands,110161,96970,13191
8/5/2021,Andaman and Nicobar Islands,111168,97639,13529
9/5/2021,Andaman and Nicobar Islands,111285,97748,13537
10/5/2021,Andaman and Nicobar Islands,112403,98439,13964
11/5/2021,Andaman and Nicobar Islands,113019,98845,14174
12/5/2021,Andaman and Nicobar Islands,113622,99218,14404
13/05/2021,Andaman and Nicobar Islands,114400,99602,14798
14/05/2021,Andaman and Nicobar Islands,114498,99690,14808
15/05/2021,Andaman and Nicobar Islands,115188,100058,15130
16/05/2021,Andaman and Nicobar Islands,115188,100058,15130
17/05/2021,Andaman and Nicobar Islands,115627,100492,15135
18/05/2021,Andaman and Nicobar Islands,115911,100773,15138
19/05/2021,Andaman and Nicobar Islands,116427,101277,15150
20/05/2021,Andaman and Nicobar Islands,117180,102027,15153
21/05/2021,Andaman and Nicobar Islands,117950,102795,15155
22/05/2021,Andaman and Nicobar Islands,118761,103605,15156
23/05/2021,Andaman and Nicobar Islands,119144,103988,15156
24/05/2021,Andaman and Nicobar Islands,119595,104439,15156
25/05/2021,Andaman and Nicobar Islands,120282,105124,15158
26/05/2021,Andaman and Nicobar Islands,121091,105933,15158
27/05/2021,Andaman and Nicobar Islands,121709,106548,15161
28/05/2021,Andaman and Nicobar Islands,122466,107304,15162
29/05/2021,Andaman and Nicobar Islands,123483,108317,15166
30/05/2021,Andaman and Nicobar Islands,123725,108559,15166
31/05/2021,Andaman and Nicobar Islands,124268,109087,15181
1/6/2021,Andaman and Nicobar Islands,125007,109821,15186
2/6/2021,Andaman and Nicobar Islands,125514,110323,15191
3/6/2021,Andaman and Nicobar Islands,126200,111001,15199
4/6/2021,Andaman and Nicobar Islands,126713,111506,15207
5/6/2021,Andaman and Nicobar Islands,127194,111971,15223
6/6/2021,Andaman and Nicobar Islands,127202,111979,15223
7/6/2021,Andaman and Nicobar Islands,127759,112507,15252
8/6/2021,Andaman and Nicobar Islands,128195,112917,15278
9/6/2021,Andaman and Nicobar Islands,128498,113207,15291
10/6/2021,Andaman and Nicobar Islands,129402,114098,15304
11/6/2021,Andaman and Nicobar Islands,130173,114850,15323
12/6/2021,Andaman and Nicobar Islands,131060,115708,15352
13/06/2021,Andaman and Nicobar Islands,131063,115711,15352
14/06/2021,Andaman and Nicobar Islands,132004,116632,15372
15/06/2021,Andaman and Nicobar Islands,132939,117545,15394
16/06/2021,Andaman and Nicobar Islands,133931,118511,15420
17/06/2021,Andaman and Nicobar Islands,134897,119448,15449
18/06/2021,Andaman and Nicobar Islands,135850,120382,15468
19/06/2021,Andaman and Nicobar Islands,136707,121201,15506
20/06/2021,Andaman and Nicobar Islands,136708,121202,15506
21/06/2021,Andaman and Nicobar Islands,137495,121964,15531
22/06/2021,Andaman and Nicobar Islands,140296,124729,15567
23/06/2021,Andaman and Nicobar Islands,144234,128630,15604
24/06/2021,Andaman and Nicobar Islands,149318,133533,15785
25/06/2021,Andaman and Nicobar Islands,154100,138254,15846
26/06/2021,Andaman and Nicobar Islands,159630,143329,16301
27/06/2021,Andaman and Nicobar Islands,161325,145019,16306
28/06/2021,Andaman and Nicobar Islands,165921,148486,17435
29/06/2021,Andaman and Nicobar Islands,171590,153048,18542
30/06/2021,Andaman and Nicobar Islands,176293,156470,19823
1/7/2021,Andaman and Nicobar Islands,178502,157304,21198
2/7/2021,Andaman and Nicobar Islands,181221,158335,22886
3/7/2021,Andaman and Nicobar Islands,184103,159330,24773
4/7/2021,Andaman and Nicobar Islands,184515,159342,25173
5/7/2021,Andaman and Nicobar Islands,189428,160292,29136
6/7/2021,Andaman and Nicobar Islands,196475,161400,35075
7/7/2021,Andaman and Nicobar Islands,,,
8/7/2021,Andaman and Nicobar Islands,,,
9/7/2021,Andaman and Nicobar Islands,,,
10/7/2021,Andaman and Nicobar Islands,,,
11/7/2021,Andaman and Nicobar Islands,,,
12/7/2021,Andaman and Nicobar Islands,,,
13/07/2021,Andaman and Nicobar Islands,,,
14/07/2021,Andaman and Nicobar Islands,,,
15/07/2021,Andaman and Nicobar Islands,,,
16/01/2021,Andhra Pradesh,4216,4216,0
17/01/2021,Andhra Pradesh,9251,9251,0
18/01/2021,Andhra Pradesh,12234,12234,0
19/01/2021,Andhra Pradesh,25539,25539,0
20/01/2021,Andhra Pradesh,35901,35901,0
21/01/2021,Andhra Pradesh,45040,45040,0
22/01/2021,Andhra Pradesh,55697,55697,0
23/01/2021,Andhra Pradesh,70380,70380,0
24/01/2021,Andhra Pradesh,74221,74221,0
25/01/2021,Andhra Pradesh,89879,89879,0
26/01/2021,Andhra Pradesh,90616,90616,0
27/01/2021,Andhra Pradesh,107999,107999,0
28/01/2021,Andhra Pradesh,117543,117543,0
29/01/2021,Andhra Pradesh,124647,124647,0
30/01/2021,Andhra Pradesh,133571,133571,0
31/01/2021,Andhra Pradesh,133623,133623,0
1/2/2021,Andhra Pradesh,133642,133642,0
2/2/2021,Andhra Pradesh,133646,133646,0
3/2/2021,Andhra Pradesh,161302,161302,0
4/2/2021,Andhra Pradesh,188704,188704,0
5/2/2021,Andhra Pradesh,218899,218899,0
6/2/2021,Andhra Pradesh,245938,245938,0
7/2/2021,Andhra Pradesh,249205,249205,0
8/2/2021,Andhra Pradesh,263588,263588,0
9/2/2021,Andhra Pradesh,275654,275654,0
10/2/2021,Andhra Pradesh,286401,286401,0
11/2/2021,Andhra Pradesh,294574,294574,0
12/2/2021,Andhra Pradesh,303031,303031,0
13/02/2021,Andhra Pradesh,319740,313507,6233
14/02/2021,Andhra Pradesh,319743,313509,6234
15/02/2021,Andhra Pradesh,345830,329041,16789
16/02/2021,Andhra Pradesh,370880,344146,26734
17/02/2021,Andhra Pradesh,402851,364844,38007
18/02/2021,Andhra Pradesh,414038,359785,54253
19/02/2021,Andhra Pradesh,476505,403279,73226
20/02/2021,Andhra Pradesh,501288,413818,87470
21/02/2021,Andhra Pradesh,509044,418634,90410
22/02/2021,Andhra Pradesh,534507,431789,102718
23/02/2021,Andhra Pradesh,559483,448490,110993
24/02/2021,Andhra Pradesh,596327,476866,119461
25/02/2021,Andhra Pradesh,639187,510185,129002
26/02/2021,Andhra Pradesh,673767,535955,137812
27/02/2021,Andhra Pradesh,673767,535955,137812
28/02/2021,Andhra Pradesh,673767,535955,137812
1/3/2021,Andhra Pradesh,673767,535955,137812
2/3/2021,Andhra Pradesh,702035,559569,142466
3/3/2021,Andhra Pradesh,724119,577662,146457
4/3/2021,Andhra Pradesh,749445,596324,153121
5/3/2021,Andhra Pradesh,785259,620332,164927
6/3/2021,Andhra Pradesh,836177,653058,183119
7/3/2021,Andhra Pradesh,836337,653146,183191
8/3/2021,Andhra Pradesh,886175,688936,197239
9/3/2021,Andhra Pradesh,740389,530098,210291
10/3/2021,Andhra Pradesh,781210,561939,219271
11/3/2021,Andhra Pradesh,789453,568693,220760
12/3/2021,Andhra Pradesh,837831,606440,231391
13/03/2021,Andhra Pradesh,881112,643857,237255
14/03/2021,Andhra Pradesh,881921,644610,237311
15/03/2021,Andhra Pradesh,955901,708969,246932
16/03/2021,Andhra Pradesh,1234075,976078,257997
17/03/2021,Andhra Pradesh,1380960,1112607,268353
18/03/2021,Andhra Pradesh,1472043,1194255,277788
19/03/2021,Andhra Pradesh,1569131,1280956,288175
20/03/2021,Andhra Pradesh,1681001,1381802,299199
21/03/2021,Andhra Pradesh,1689691,1389085,300606
22/03/2021,Andhra Pradesh,1803338,1494286,309052
23/03/2021,Andhra Pradesh,1939162,1617797,321365
24/03/2021,Andhra Pradesh,2062333,1729748,332585
25/03/2021,Andhra Pradesh,2211652,1864559,347093
26/03/2021,Andhra Pradesh,2320613,1960827,359786
27/03/2021,Andhra Pradesh,2451110,2078246,372864
28/03/2021,Andhra Pradesh,2461015,2086565,374450
29/03/2021,Andhra Pradesh,2527121,2149525,377596
30/03/2021,Andhra Pradesh,2621769,2234331,387438
31/03/2021,Andhra Pradesh,2725169,2328018,397151
1/4/2021,Andhra Pradesh,2825721,2421043,404678
2/4/2021,Andhra Pradesh,2898547,2487480,411067
3/4/2021,Andhra Pradesh,2986837,2566814,420023
4/4/2021,Andhra Pradesh,3047568,2621707,425861
5/4/2021,Andhra Pradesh,3142814,2706804,436010
6/4/2021,Andhra Pradesh,3207917,2764322,443595
7/4/2021,Andhra Pradesh,3352010,2890332,461678
8/4/2021,Andhra Pradesh,3496367,3020007,476360
9/4/2021,Andhra Pradesh,3571106,3081066,490040
10/4/2021,Andhra Pradesh,3803237,3281351,521886
11/4/2021,Andhra Pradesh,3892459,3362926,529533
12/4/2021,Andhra Pradesh,3913669,3380423,533246
13/04/2021,Andhra Pradesh,3918519,3383754,534765
14/04/2021,Andhra Pradesh,4558756,3973533,585223
15/04/2021,Andhra Pradesh,4597442,4003901,593541
16/04/2021,Andhra Pradesh,4603722,4007469,596253
17/04/2021,Andhra Pradesh,4607860,4009940,597920
18/04/2021,Andhra Pradesh,4613016,4013140,599876
19/04/2021,Andhra Pradesh,4756582,4140526,616056
20/04/2021,Andhra Pradesh,4927355,4234572,692783
21/04/2021,Andhra Pradesh,4968449,4257182,711267
22/04/2021,Andhra Pradesh,5327886,4337021,990865
23/04/2021,Andhra Pradesh,5554779,4464620,1090159
24/04/2021,Andhra Pradesh,5669867,4543318,1126549
25/04/2021,Andhra Pradesh,5678642,4547972,1130670
26/04/2021,Andhra Pradesh,5986083,4761686,1224397
27/04/2021,Andhra Pradesh,6177693,4904030,1273663
28/04/2021,Andhra Pradesh,6281949,4955046,1326903
29/04/2021,Andhra Pradesh,6353841,4988411,1365430
30/04/2021,Andhra Pradesh,6579034,5112011,1467023
1/5/2021,Andhra Pradesh,6694297,5174960,1519337
2/5/2021,Andhra Pradesh,6696325,5176393,1519932
3/5/2021,Andhra Pradesh,6732767,5195851,1536916
4/5/2021,Andhra Pradesh,6748028,5204180,1543848
5/5/2021,Andhra Pradesh,6947225,5273196,1674029
6/5/2021,Andhra Pradesh,7140106,5345545,1794561
7/5/2021,Andhra Pradesh,7255219,5393064,1862155
8/5/2021,Andhra Pradesh,7410800,5436592,1974208
9/5/2021,Andhra Pradesh,7425692,5443382,1982310
10/5/2021,Andhra Pradesh,7427778,5443951,1983827
11/5/2021,Andhra Pradesh,7463899,5450913,2012986
12/5/2021,Andhra Pradesh,7504394,5459958,2044436
13/05/2021,Andhra Pradesh,7551945,5470083,2081862
14/05/2021,Andhra Pradesh,7570886,5474544,2096342
